modelo,accuracy,precision,recall,f1,roc_auc,std_roc_auc
LogisticRegression,0.8461646727656579,,,,0.9233700054608681,0.004684627402136406
LinearSVC,0.8477128782547501,,,,0.9229512583896922,0.00453426589238963
KNN,0.7994370161857847,,,,0.879990587471491,0.011390782499370276
DecisionTree,0.8337790288529205,,,,0.8252978867729613,0.017526766258661085
RandomForest,0.8585503166783954,,,,0.9414977316253081,0.005858866222414352
ExtraTrees,0.8508092892329344,,,,0.9210300646226706,0.00720688290368367
GradientBoosting,0.8472906403940886,,,,0.9458614749487504,0.003752685730726162
MLPClassifier,0.8195636875439831,,,,0.9073052648928984,0.0034611521305416178
